- 렌더 시간 차이
    - fake X (10000m 상공)
        
        [click P] 높이= 10000.000000
        시간 간격: 2582.5,  렌더링 객체: 369,  렌더링 fake 객체: 1419
        시간 간격: 1113.6,  렌더링 객체: 371,  렌더링 fake 객체: 1420
        시간 간격: 889.1,  렌더링 객체: 371,  렌더링 fake 객체: 1420
        시간 간격: 845.6,  렌더링 객체: 372,  렌더링 fake 객체: 1419
        시간 간격: 763.6,  렌더링 객체: 373,  렌더링 fake 객체: 1419
        시간 간격: 869.1,  렌더링 객체: 373,  렌더링 fake 객체: 1420
        시간 간격: 819.2,  렌더링 객체: 376,  렌더링 fake 객체: 1421
        시간 간격: 965.5,  렌더링 객체: 376,  렌더링 fake 객체: 1420
        16352 스레드가 종료되었습니다(코드: 0 (0x0)).
        시간 간격: 791.0,  렌더링 객체: 376,  렌더링 fake 객체: 1432
        시간 간격: 851.1,  렌더링 객체: 379,  렌더링 fake 객체: 1433
        시간 간격: 931.0,  렌더링 객체: 382,  렌더링 fake 객체: 1437
        시간 간격: 801.3,  렌더링 객체: 382,  렌더링 fake 객체: 1434
        시간 간격: 759.4,  렌더링 객체: 382,  렌더링 fake 객체: 1432
        시간 간격: 806.4,  렌더링 객체: 385,  렌더링 fake 객체: 1434
        시간 간격: 818.1,  렌더링 객체: 389,  렌더링 fake 객체: 1441
        시간 간격: 784.8,  렌더링 객체: 389,  렌더링 fake 객체: 1441
        시간 간격: 768.0,  렌더링 객체: 390,  렌더링 fake 객체: 1439
        시간 간격: 852.0,  렌더링 객체: 391,  렌더링 fake 객체: 1431
        시간 간격: 797.8,  렌더링 객체: 394,  렌더링 fake 객체: 1430
        시간 간격: 801.4,  렌더링 객체: 401,  렌더링 fake 객체: 1432
        시간 간격: 776.3,  렌더링 객체: 405,  렌더링 fake 객체: 1435
        시간 간격: 770.5,  렌더링 객체: 405,  렌더링 fake 객체: 1433
        시간 간격: 852.2,  렌더링 객체: 410,  렌더링 fake 객체: 1449
        시간 간격: 923.8,  렌더링 객체: 424,  렌더링 fake 객체: 1451
        시간 간격: 812.7,  렌더링 객체: 423,  렌더링 fake 객체: 1450
        시간 간격: 1011.0,  렌더링 객체: 434,  렌더링 fake 객체: 1459
        시간 간격: 826.6,  렌더링 객체: 441,  렌더링 fake 객체: 1460
        시간 간격: 869.8,  렌더링 객체: 448,  렌더링 fake 객체: 1450
        시간 간격: 987.9,  렌더링 객체: 450,  렌더링 fake 객체: 1450
        시간 간격: 1029.1,  렌더링 객체: 452,  렌더링 fake 객체: 1450
        시간 간격: 853.9,  렌더링 객체: 456,  렌더링 fake 객체: 1453
        시간 간격: 859.6,  렌더링 객체: 459,  렌더링 fake 객체: 1467
        시간 간격: 813.5,  렌더링 객체: 465,  렌더링 fake 객체: 1470
        시간 간격: 1021.1,  렌더링 객체: 465,  렌더링 fake 객체: 1465
        시간 간격: 826.7,  렌더링 객체: 471,  렌더링 fake 객체: 1468
        시간 간격: 911.5,  렌더링 객체: 471,  렌더링 fake 객체: 1473
        시간 간격: 816.0,  렌더링 객체: 475,  렌더링 fake 객체: 1474
        시간 간격: 849.0,  렌더링 객체: 479,  렌더링 fake 객체: 1467
        시간 간격: 973.9,  렌더링 객체: 482,  렌더링 fake 객체: 1466
        시간 간격: 825.9,  렌더링 객체: 488,  렌더링 fake 객체: 1471
        시간 간격: 816.4,  렌더링 객체: 489,  렌더링 fake 객체: 1471
        시간 간격: 859.8,  렌더링 객체: 490,  렌더링 fake 객체: 1486
        시간 간격: 1052.2,  렌더링 객체: 495,  렌더링 fake 객체: 1485
        시간 간격: 839.8,  렌더링 객체: 495,  렌더링 fake 객체: 1494
        시간 간격: 854.1,  렌더링 객체: 497,  렌더링 fake 객체: 1503
        시간 간격: 838.8,  렌더링 객체: 497,  렌더링 fake 객체: 1504
        시간 간격: 881.7,  렌더링 객체: 510,  렌더링 fake 객체: 1497
        시간 간격: 889.8,  렌더링 객체: 514,  렌더링 fake 객체: 1497
        시간 간격: 3089.7,  렌더링 객체: 518,  렌더링 fake 객체: 1501
        시간 간격: 856.5,  렌더링 객체: 518,  렌더링 fake 객체: 1517
        시간 간격: 842.3,  렌더링 객체: 523,  렌더링 fake 객체: 1520
        시간 간격: 967.1,  렌더링 객체: 531,  렌더링 fake 객체: 1519
        시간 간격: 939.7,  렌더링 객체: 536,  렌더링 fake 객체: 1532
        시간 간격: 889.3,  렌더링 객체: 536,  렌더링 fake 객체: 1539
        시간 간격: 884.9,  렌더링 객체: 536,  렌더링 fake 객체: 1532
        시간 간격: 1145.8,  렌더링 객체: 537,  렌더링 fake 객체: 1530
        시간 간격: 1123.6,  렌더링 객체: 541,  렌더링 fake 객체: 1535
        시간 간격: 956.4,  렌더링 객체: 549,  렌더링 fake 객체: 1555
        시간 간격: 890.9,  렌더링 객체: 550,  렌더링 fake 객체: 1559
        시간 간격: 1148.4,  렌더링 객체: 551,  렌더링 fake 객체: 1558
        시간 간격: 1081.1,  렌더링 객체: 551,  렌더링 fake 객체: 1561
        시간 간격: 935.4,  렌더링 객체: 556,  렌더링 fake 객체: 1570
        시간 간격: 893.8,  렌더링 객체: 560,  렌더링 fake 객체: 1555
        시간 간격: 979.7,  렌더링 객체: 557,  렌더링 fake 객체: 1555
        
    - fake O (10000m 상공)
        
        [click P] 높이= 10000.000000
        시간 간격: 124100.0,  렌더링 객체: 567,  렌더링 fake 객체: 1564
        시간 간격: 39696.2,  렌더링 객체: 583,  렌더링 fake 객체: 1596
        시간 간격: 33793.9,  렌더링 객체: 585,  렌더링 fake 객체: 1580
        시간 간격: 349609.4,  렌더링 객체: 587,  렌더링 fake 객체: 1585
        시간 간격: 1663.5,  렌더링 객체: 658,  렌더링 fake 객체: 1577
        시간 간격: 1212.2,  렌더링 객체: 657,  렌더링 fake 객체: 1571
        시간 간격: 1085.2,  렌더링 객체: 655,  렌더링 fake 객체: 1573
        시간 간격: 1061.1,  렌더링 객체: 654,  렌더링 fake 객체: 1573
        시간 간격: 1223.6,  렌더링 객체: 654,  렌더링 fake 객체: 1587
        시간 간격: 1461.4,  렌더링 객체: 653,  렌더링 fake 객체: 1584
        시간 간격: 1101.6,  렌더링 객체: 649,  렌더링 fake 객체: 1578
        시간 간격: 1017.7,  렌더링 객체: 654,  렌더링 fake 객체: 1580
        시간 간격: 1082.2,  렌더링 객체: 653,  렌더링 fake 객체: 1578
        시간 간격: 1306.4,  렌더링 객체: 653,  렌더링 fake 객체: 1575
        시간 간격: 1126.0,  렌더링 객체: 652,  렌더링 fake 객체: 1555
        시간 간격: 1051.6,  렌더링 객체: 651,  렌더링 fake 객체: 1554
        시간 간격: 1309.0,  렌더링 객체: 654,  렌더링 fake 객체: 1557
        시간 간격: 1232.5,  렌더링 객체: 654,  렌더링 fake 객체: 1565
        시간 간격: 1180.1,  렌더링 객체: 655,  렌더링 fake 객체: 1565
        시간 간격: 1069.3,  렌더링 객체: 649,  렌더링 fake 객체: 1562
        시간 간격: 1052.7,  렌더링 객체: 649,  렌더링 fake 객체: 1555
        시간 간격: 1091.0,  렌더링 객체: 648,  렌더링 fake 객체: 1554
        시간 간격: 1445.2,  렌더링 객체: 647,  렌더링 fake 객체: 1556
        시간 간격: 1137.1,  렌더링 객체: 642,  렌더링 fake 객체: 1555
        시간 간격: 1069.0,  렌더링 객체: 627,  렌더링 fake 객체: 1550
        시간 간격: 1148.2,  렌더링 객체: 627,  렌더링 fake 객체: 1530
        시간 간격: 1532.6,  렌더링 객체: 627,  렌더링 fake 객체: 1527
        시간 간격: 1775.4,  렌더링 객체: 622,  렌더링 fake 객체: 1525
        시간 간격: 1247.5,  렌더링 객체: 623,  렌더링 fake 객체: 1528
        시간 간격: 1308.3,  렌더링 객체: 621,  렌더링 fake 객체: 1524
        시간 간격: 1152.5,  렌더링 객체: 623,  렌더링 fake 객체: 1531
        시간 간격: 1022.3,  렌더링 객체: 622,  렌더링 fake 객체: 1530
        시간 간격: 976.6,  렌더링 객체: 617,  렌더링 fake 객체: 1525
        시간 간격: 1209.3,  렌더링 객체: 617,  렌더링 fake 객체: 1523
        시간 간격: 1218.5,  렌더링 객체: 617,  렌더링 fake 객체: 1522
        시간 간격: 1026.5,  렌더링 객체: 613,  렌더링 fake 객체: 1524
